tagid,touched_tagid,min_distance,duration,begin_time,end_time,upload_time,baseid
311761,284975,1.1,31,1678876472000,1678876503000,1678877056719,138466
311761,284975,0.1,129,1678876739000,1678876868000,1678877056719,138466
311761,285928,0.3,9,1678876592000,1678876601000,1678877056719,138466
311761,289041,1.1,3,1678876501000,1678876504000,1678877056719,138466
311761,289041,0.2,130,1678876739000,1678876869000,1678877056719,138466
311761,310398,0.8,30,1678876471000,1678876501000,1678877056719,138466
311761,312006,0.8,9,1678876492000,1678876501000,1678877056719,138466
311761,284824,0.8,152,1678875297000,1678875449000,1678877056708,138466
311761,284824,1.3,12,1678875778000,1678875790000,1678877056708,138466
311761,284824,0.8,30,1678875841000,1678875871000,1678877056708,138466
311761,284824,1.3,28,1678875882000,1678875910000,1678877056708,138466
311761,284824,1,25,1678876001000,1678876026000,1678877056708,138466
311761,284824,0.7,131,1678876074000,1678876205000,1678877056708,138466
311761,284824,0.5,250,1678876227000,1678876477000,1678877056708,138466
311761,284975,1.3,8,1678875861000,1678875869000,1678877056708,138466
311761,284975,1.3,8,1678875902000,1678875910000,1678877056708,138466
311761,284975,1.3,5,1678875922000,1678875927000,1678877056708,138466
311761,284975,0.3,187,1678875952000,1678876139000,1678877056708,138466
311761,284975,1.2,10,1678876207000,1678876217000,1678877056708,138466
311761,284975,1.2,12,1678876285000,1678876297000,1678877056708,138466
311761,284975,1.2,93,1678876346000,1678876439000,1678877056708,138466
311761,285614,1.3,20,1678876385000,1678876405000,1678877056708,138466
311761,285614,1.3,23,1678876420000,1678876443000,1678877056708,138466
311761,285614,0.9,9,1678876472000,1678876481000,1678877056708,138466
311761,285715,0.9,4,1678876213000,1678876217000,1678877056708,138466
311761,287584,1.4,9,1678875502000,1678875511000,1678877056708,138466
311761,289041,0.1,942,1678874504000,1678875446000,1678877056708,138466
311761,289041,0,163,1678875464000,1678875627000,1678877056708,138466
311761,289041,0.1,129,1678875671000,1678875800000,1678877056708,138466
311761,289041,0.3,134,1678875902000,1678876036000,1678877056708,138466
311761,289041,0.4,149,1678876073000,1678876222000,1678877056708,138466
311761,289041,0.7,24,1678876298000,1678876322000,1678877056708,138466
311761,289041,0.9,24,1678876445000,1678876469000,1678877056708,138466
311761,291370,1.2,6,1678875481000,1678875487000,1678877056708,138466
311761,293896,0.3,945,1678874506000,1678875451000,1678877056708,138466
311761,293896,0.5,166,1678875462000,1678875628000,1678877056708,138466
311761,293896,0.3,384,1678875642000,1678876026000,1678877056708,138466
311761,293896,0.7,223,1678876079000,1678876302000,1678877056708,138466
311761,293896,0.6,126,1678876322000,1678876448000,1678877056708,138466
311761,293896,0.7,30,1678876473000,1678876503000,1678877056708,138466
311761,307121,1.4,5,1678876100000,1678876105000,1678877056708,138466
311761,307121,1.4,17,1678876246000,1678876263000,1678877056708,138466
311761,307121,1.3,13,1678876284000,1678876297000,1678877056708,138466
311761,307738,1.3,15,1678875450000,1678875465000,1678877056708,138466
311761,307738,1.3,16,1678876305000,1678876321000,1678877056708,138466
311761,307738,1.2,18,1678876450000,1678876468000,1678877056708,138466
311761,308050,1.3,12,1678875454000,1678875466000,1678877056708,138466
311761,308050,1.4,8,1678876306000,1678876314000,1678877056708,138466
311761,308050,1.4,6,1678876463000,1678876469000,1678877056708,138466
311761,308219,1.4,10,1678875632000,1678875642000,1678877056708,138466
311761,308437,1.1,5,1678875780000,1678875785000,1678877056708,138466
311761,308437,1.2,2,1678876213000,1678876215000,1678877056708,138466
311761,309402,0.4,26,1678875445000,1678875471000,1678877056708,138466
311761,309402,0.1,15,1678875845000,1678875860000,1678877056708,138466
311761,309402,0.1,23,1678876298000,1678876321000,1678877056708,138466
311761,309402,0.1,24,1678876446000,1678876470000,1678877056708,138466
311761,309734,0.7,271,1678875176000,1678875447000,1678877056708,138466
311761,309734,0.8,221,1678875465000,1678875686000,1678877056708,138466
311761,309734,0.6,317,1678875712000,1678876029000,1678877056708,138466
